1907	22.5.1907	31.7.1908
1908 II 	1.8.1908	31.5.1909
1909 II 	1.6.1909	28.2.1910
1910	1.3.1910	31.1.1911
1911	1.2.1911	1.2.1914
1914	2.2.1914	3.4.1917
1917 I 	4.4.1917	31.10.1917
1917 II 	1.11.1917	31.3.1919
1919	1.4.1919	4.9.1922
1922	5.9.1922	30.4.1924
1924	1.5.1924	1.9.1927
1927	2.9.1927	31.7.1929
1929 II 	1.8.1929	20.10.1930
1930 II 	21.10.1930	31.8.1933
1933	1.9.1933	31.8.1936
1936	1.9.1936	31.8.1939
1939	1.9.1939	5.4.1945
1945	6.4.1945	21.7.1948
1948	22.7.1948	20.7.1951
1951	21.7.1951	28.3.1954
1954	29.3.1954	21.7.1958
1958	22.7.1958	19.2.1962
1962	20.2.1962	4.4.1966
1966	5.4.1966	22.3.1970
1970	23.3.1970	21.1.1972
1972	22.1.1972	26.9.1975
1975 II 	27.9.1975	23.3.1979
1979	24.3.1979	25.3.1983
1983	26.3.1983	20.3.1987
1987	21.3.1987	21.3.1991
1991	22.3.1991	23.3.1995
1995	24.3.1995	23.3.1999
1999	24.3.1999	18.3.2003
2003	19.3.2003	20.3.2007
2007	21.3.2007	19.4.2011
2011	20.4.2011	
